"TOA5","Pinyon1","CR1000X","12170","CR1000X.Std.03.02","CPU:PinyonSensorsDec11.CR1X","6924","Table2"
"TIMESTAMP","RECORD","BattV_Min","PTemp_C_Min","PTemp_C_TMn","PTemp_C_Max","PTemp_C_TMx","AirTC_Max","AirTC_TMx","AirTC_Min","AirTC_TMn","RH_Max","RH_TMx","RH_Min","RH_TMn","Rain_mm_Tot"
"TS","RN","Volts","Deg C","","Deg C","","Deg C","","Deg C","","%","","%","","mm"
"","","Min","Min","TMn","Max","TMx","Max","TMx","Min","TMn","Max","TMx","Min","TMn","Tot"
"2020-01-22 00:00:00",40,12.97,2.906,"2020-01-21 21:50:00",16.19,"2020-01-21 11:00:00",10.57,"2020-01-21 10:20:00",3.199,"2020-01-21 20:50:00",85.5,"2020-01-21 02:40:00",46.7,"2020-01-21 00:20:00",0
"2020-01-23 00:00:00",41,12.96,0.928,"2020-01-22 07:00:00",22.9,"2020-01-22 16:00:00",12.4,"2020-01-22 14:20:00",1.891,"2020-01-22 02:30:00",86,"2020-01-22 02:50:00",41.01,"2020-01-22 14:20:00",0
"2020-01-24 00:00:00",42,12.94,0.977,"2020-01-23 05:00:00",25.99,"2020-01-23 16:00:00",15.95,"2020-01-23 11:00:00",3.929,"2020-01-23 01:10:00",61.49,"2020-01-23 01:10:00",27.34,"2020-01-23 15:10:00",0
"2020-01-25 00:00:00",43,12.94,-0.987,"2020-01-24 06:50:00",26.8,"2020-01-24 16:00:00",16.77,"2020-01-24 13:10:00",3.628,"2020-01-24 04:30:00",54.85,"2020-01-24 23:40:00",20.44,"2020-01-24 16:00:00",0
"2020-01-26 00:00:00",44,12.93,-1.501,"2020-01-25 07:00:00",26.24,"2020-01-25 15:50:00",16.71,"2020-01-25 12:50:00",3.472,"2020-01-25 05:00:00",55.53,"2020-01-25 06:40:00",24.3,"2020-01-25 15:40:00",0
"2020-01-27 00:00:00",45,12.94,2.968,"2020-01-26 06:10:00",24.86,"2020-01-26 13:50:00",17.19,"2020-01-26 13:30:00",5.599,"2020-01-26 23:30:00",56.91,"2020-01-26 20:10:00",20.75,"2020-01-26 14:50:00",0
"2020-01-28 00:00:00",46,12.93,1.024,"2020-01-27 07:20:00",26.17,"2020-01-27 16:00:00",15.34,"2020-01-27 12:10:00",4.484,"2020-01-27 22:40:00",55.34,"2020-01-27 07:10:00",23.8,"2020-01-27 15:30:00",0
"2020-01-29 00:00:00",47,12.93,-0.177,"2020-01-28 07:20:00",25.8,"2020-01-28 16:10:00",16.9,"2020-01-28 10:20:00",4.139,"2020-01-28 06:20:00",57.38,"2020-01-28 21:00:00",20.66,"2020-01-28 10:20:00",0
"2020-01-30 00:00:00",48,12.93,0.312,"2020-01-29 05:00:00",18.02,"2020-01-29 15:10:00",11.38,"2020-01-29 12:20:00",2.209,"2020-01-29 04:10:00",60.01,"2020-01-29 04:10:00",23.19,"2020-01-29 14:40:00",0
"2020-01-31 00:00:00",49,12.92,0.012,"2020-01-30 07:10:00",23.99,"2020-01-30 14:40:00",15.79,"2020-01-30 12:30:00",2.758,"2020-01-30 02:30:00",36.17,"2020-01-30 22:30:00",6.804,"2020-01-30 12:30:00",0
"2020-02-01 00:00:00",50,12.93,0.618,"2020-01-31 05:20:00",27.62,"2020-01-31 16:00:00",17.03,"2020-01-31 14:50:00",2.917,"2020-01-31 04:30:00",44.3,"2020-01-31 04:30:00",7.646,"2020-01-31 14:30:00",0
"2020-02-02 00:00:00",51,12.92,0.489,"2020-02-01 06:50:00",29.55,"2020-02-01 15:40:00",19.37,"2020-02-01 14:10:00",5.757,"2020-02-01 05:20:00",37.53,"2020-02-01 21:10:00",16.65,"2020-02-01 12:30:00",0
"2020-02-03 00:00:00",52,12.92,0.438,"2020-02-02 06:20:00",22.48,"2020-02-02 15:30:00",20,"2020-02-02 11:40:00",4.632,"2020-02-02 23:10:00",77.16,"2020-02-02 23:10:00",14.67,"2020-02-02 12:00:00",0
"2020-02-04 00:00:00",53,12.93,-2.463,"2020-02-04 00:00:00",15.4,"2020-02-03 14:20:00",6.354,"2020-02-03 02:20:00",-2.449,"2020-02-03 20:00:00",89.7,"2020-02-03 05:20:00",14.62,"2020-02-03 13:20:00",0
"2020-02-05 00:00:00",54,12.9,-6.571,"2020-02-04 05:30:00",12.12,"2020-02-04 15:50:00",3.283,"2020-02-04 13:50:00",-4.642,"2020-02-04 05:20:00",30.16,"2020-02-04 04:20:00",10.98,"2020-02-04 15:50:00",0
"2020-02-06 00:00:00",55,12.91,-5.538,"2020-02-05 06:20:00",21.94,"2020-02-05 15:10:00",11.88,"2020-02-05 16:00:00",-3.463,"2020-02-05 06:10:00",43.24,"2020-02-05 23:50:00",11.74,"2020-02-05 08:40:00",0
"2020-02-07 00:00:00",56,12.92,0.484,"2020-02-06 05:20:00",28.21,"2020-02-06 16:10:00",16.69,"2020-02-06 16:00:00",4.014,"2020-02-06 00:30:00",50.69,"2020-02-06 02:30:00",25.37,"2020-02-06 14:30:00",0
"2020-02-08 00:00:00",57,12.92,-0.215,"2020-02-07 06:50:00",29.23,"2020-02-07 16:20:00",18.6,"2020-02-07 14:40:00",4.941,"2020-02-07 06:40:00",41.03,"2020-02-07 06:40:00",14.64,"2020-02-07 14:30:00",0
"2020-02-09 00:00:00",58,12.91,0.725,"2020-02-08 02:40:00",22.42,"2020-02-08 13:40:00",19.94,"2020-02-08 12:50:00",5.395,"2020-02-08 02:30:00",42.41,"2020-02-08 19:10:00",13.87,"2020-02-08 11:00:00",0
"2020-02-10 00:00:00",59,12.94,3.441,"2020-02-10 00:00:00",17.43,"2020-02-09 14:10:00",11.2,"2020-02-09 13:40:00",1.322,"2020-02-09 23:20:00",89,"2020-02-09 23:20:00",33.49,"2020-02-09 02:30:00",0
"2020-02-11 00:00:00",60,12.92,2.274,"2020-02-10 08:50:00",7.141,"2020-02-10 21:30:00",9.73,"2020-02-10 21:10:00",1.452,"2020-02-10 01:40:00",87.8,"2020-02-10 06:00:00",18.76,"2020-02-10 23:50:00",0
"2020-02-12 00:00:00",61,12.93,1.59,"2020-02-12 00:00:00",21.54,"2020-02-11 16:10:00",9.66,"2020-02-11 14:50:00",-0.115,"2020-02-11 19:40:00",38.39,"2020-02-11 19:40:00",12.28,"2020-02-11 17:00:00",0
"2020-02-13 00:00:00",62,12.91,-3.298,"2020-02-12 06:40:00",24.95,"2020-02-12 14:20:00",14.62,"2020-02-12 10:40:00",-0.652,"2020-02-12 23:30:00",65.11,"2020-02-12 19:50:00",13.66,"2020-02-12 08:10:00",0
"2020-02-14 00:00:00",63,12.9,-3.582,"2020-02-13 07:00:00",24.01,"2020-02-13 15:50:00",12.59,"2020-02-13 11:30:00",-0.361,"2020-02-13 02:10:00",59.64,"2020-02-13 19:20:00",22.08,"2020-02-13 12:40:00",0
"2020-02-15 00:00:00",64,12.91,-2.486,"2020-02-14 06:50:00",25.91,"2020-02-14 15:30:00",13.48,"2020-02-14 15:00:00",1.699,"2020-02-14 02:40:00",52.39,"2020-02-14 19:50:00",23.82,"2020-02-14 08:50:00",0
"2020-02-16 00:00:00",65,12.9,-2.997,"2020-02-15 06:50:00",26.54,"2020-02-15 15:10:00",15.75,"2020-02-15 11:00:00",0.798,"2020-02-15 04:20:00",45.71,"2020-02-15 04:20:00",14.88,"2020-02-15 10:50:00",0
"2020-02-17 00:00:00",66,12.92,0.94,"2020-02-16 03:10:00",28.63,"2020-02-16 15:40:00",18.15,"2020-02-16 15:40:00",3.167,"2020-02-16 02:40:00",54.44,"2020-02-16 21:40:00",24.17,"2020-02-16 12:50:00",0
"2020-02-18 00:00:00",67,12.93,2.124,"2020-02-17 07:00:00",28.63,"2020-02-17 15:50:00",16.98,"2020-02-17 14:30:00",4.108,"2020-02-17 05:30:00",58.8,"2020-02-17 05:30:00",25.36,"2020-02-17 12:10:00",0
"2020-02-19 00:00:00",68,12.91,0.424,"2020-02-18 06:40:00",27.73,"2020-02-18 15:40:00",16.24,"2020-02-18 12:00:00",4.454,"2020-02-18 02:30:00",57.66,"2020-02-18 02:30:00",14.06,"2020-02-18 11:00:00",0
"2020-02-20 00:00:00",69,12.91,1.136,"2020-02-19 06:20:00",28.19,"2020-02-19 16:10:00",16.64,"2020-02-19 14:40:00",3.715,"2020-02-19 06:00:00",54.72,"2020-02-19 00:20:00",24.3,"2020-02-19 09:50:00",0
"2020-02-21 00:00:00",70,12.9,-0.702,"2020-02-20 06:40:00",26.62,"2020-02-20 15:50:00",15.87,"2020-02-20 15:40:00",2.411,"2020-02-20 02:10:00",52.42,"2020-02-20 02:10:00",18.25,"2020-02-20 13:30:00",0
"2020-02-22 00:00:00",71,12.91,0.898,"2020-02-21 06:50:00",28.16,"2020-02-21 15:00:00",17.37,"2020-02-21 14:40:00",4.057,"2020-02-21 06:30:00",47.74,"2020-02-21 22:10:00",18.47,"2020-02-21 10:10:00",0
"2020-02-23 00:00:00",72,12.92,4.213,"2020-02-22 22:00:00",13.55,"2020-02-22 14:30:00",10.44,"2020-02-22 00:10:00",2.974,"2020-02-22 15:30:00",90.4,"2020-02-23 00:00:00",34.72,"2020-02-22 00:10:00",0
"2020-02-24 00:00:00",73,12.94,2.621,"2020-02-24 00:00:00",28.13,"2020-02-23 16:30:00",16.81,"2020-02-23 14:10:00",3.503,"2020-02-23 00:10:00",92.3,"2020-02-23 01:20:00",21.37,"2020-02-23 16:20:00",0
"2020-02-25 00:00:00",74,12.91,-0.514,"2020-02-24 06:40:00",29,"2020-02-24 16:20:00",18.66,"2020-02-24 14:00:00",3.991,"2020-02-24 06:30:00",47.37,"2020-02-24 05:50:00",7.859,"2020-02-24 16:00:00",0
"2020-02-26 00:00:00",75,12.9,-0.924,"2020-02-25 06:10:00",26.37,"2020-02-25 15:50:00",16.09,"2020-02-25 13:20:00",2.987,"2020-02-25 03:30:00",27.44,"2020-02-25 03:30:00",7.339,"2020-02-25 12:00:00",0
"2020-02-27 00:00:00",76,12.91,0.46,"2020-02-26 06:50:00",27.04,"2020-02-26 15:50:00",13.89,"2020-02-26 15:20:00",2.39,"2020-02-26 05:40:00",24.99,"2020-02-26 06:30:00",11.14,"2020-02-26 12:50:00",0
"2020-02-28 00:00:00",77,12.9,-0.024,"2020-02-27 06:40:00",27.35,"2020-02-27 13:50:00",17.47,"2020-02-27 13:40:00",5.834,"2020-02-27 05:50:00",26.25,"2020-02-27 19:00:00",12.33,"2020-02-27 11:00:00",0
"2020-02-29 00:00:00",78,12.91,3.097,"2020-02-28 04:00:00",30.4,"2020-02-28 16:20:00",18.96,"2020-02-28 11:50:00",6.407,"2020-02-28 02:30:00",33.05,"2020-02-28 08:10:00",11.22,"2020-02-28 12:10:00",0
"2020-03-01 00:00:00",79,12.93,7.466,"2020-03-01 00:00:00",24.82,"2020-02-29 15:00:00",17.81,"2020-02-29 13:50:00",6.978,"2020-02-29 23:40:00",42.02,"2020-02-29 22:40:00",11.76,"2020-02-29 10:40:00",0
"2020-03-02 00:00:00",80,12.91,2.267,"2020-03-01 23:20:00",13.68,"2020-03-01 13:50:00",10.14,"2020-03-01 12:20:00",1.726,"2020-03-01 22:10:00",84.8,"2020-03-01 18:00:00",33.25,"2020-03-01 00:30:00",0
"2020-03-03 00:00:00",81,12.92,0.058,"2020-03-02 03:20:00",14.35,"2020-03-02 17:20:00",8.58,"2020-03-02 20:50:00",-0.029,"2020-03-02 03:00:00",90.5,"2020-03-02 08:10:00",26.99,"2020-03-03 00:00:00",0
"2020-03-04 00:00:00",82,12.94,4.277,"2020-03-03 03:10:00",30.12,"2020-03-03 15:20:00",18.06,"2020-03-03 15:10:00",7.062,"2020-03-03 18:50:00",35.36,"2020-03-03 18:50:00",15.71,"2020-03-03 15:10:00",0
"2020-03-05 00:00:00",83,12.93,2.656,"2020-03-04 06:30:00",31.74,"2020-03-04 16:10:00",19.11,"2020-03-04 10:50:00",5.446,"2020-03-04 06:10:00",71.36,"2020-03-04 18:30:00",21.51,"2020-03-04 13:10:00",0
